Puzzle,Givens,Difficulty
.8.........9.8..457.6.1......4..6.......2...........91.714...5...8.5.7..2..89...6,24,Expert
942...5....3......15..4........5.....1..739..794..1...5.9.841.7.3.....5.....324..,28,Intermediate
..2......5..8.1..2..8.751..9..3.6..765.........1......1....7.9......3....29.5...8,24,Expert
3....19.2..7..8..5....3.4....2.......4.1.......3..5....9.5.48.1......74..1.8..5.9,25,Easy
9..6....7..3..9......21...5..8.9.5...7...398.........62.61.7......36....5....2..1,25,Expert
......267.........96..21.3......98.4.......79...6..31.18..9......4.17.9.2....4...,25,Easy
2........5.697.......1.....7....96....3.1..5.8...32..9....6.9.3....957.2...8....5,25,Easy
....3...6.5....32.3.2.918.......8..1.........871......29...6..7....87.3...75.9...,25,Easy
.8......1...4...6.576..........7.....9....3.6...84.7....5.6...........1841.7...93,23,Expert
32...6.....5....9..7....3..5.2...6.769..2...........4..6....7..7.9.325.1......234,26,Easy
.54.1..37......5..3.7..46.1........66.1....5..2.8.......5.3....7.62...14...146...,27,Expert
4.9.....68.......4.7...3...9.....41361...7.89.4.8.....3...2.7...6.....9...8....62,26,Easy
....567...3..7...5.....1.....6.1.27.1...2.....2..4.3....756..1...5..9.6......4..3,25,Intermediate
.247.....1...3.29.....5......8....4..12.78...3..59....25..1........8..59.39......,25,Easy
.3....4.....8.325...941..8.6..94.8.......1..2...6.2.....325691.....9.3....4......,27,Intermediate
...69.....93..41.2...7...48..9.3.8.1...8.67.3.....1......347.......6.2.9..8......,26,Easy
.7.5....9..6...42..19....3.9...12...4....5.71...........712.69..3.....47.........,24,Intermediate
...4.23.....6...5...8........19..2....4..15.8.5......9..31.9.......25.6.26...8..1,25,Expert
.2.....43..69...........7...6..8...7....7.6..4......5..8..4.2....5..736...7..98..,23,Expert
.2.4.....9.5.7..8.....1....2......6.5...9...8.4....795.6...2.......4...2...78.45.,24,Easy
.9......2...4..9......8964187..9.....4.2..5.........8.....4....628..51....5...2..,24,Intermediate
...9..61........8.4.9.1......7...9....6...7.2.2...5.4.6.8......5.1.26.9.....57..6,25,Intermediate
...9..37..6..829.4.......6...9.3.4.6.8.14...2........1.31.94.8......6.43.....1...,27,Simple
.9....6.8...975..22.36.85....23.9..6.....285..5.4...379....3.....5........6......,27,Expert
.....9.2......6..8.5....1.31.59.8...98..7..31...2..9....8...57.76...231....6.....,27,Easy
6..1.4..8..7.6...1...58......9..............582....4..2..9..7.4.984.7.1...6.5.2.9,27,Expert
....6..126....98.....14...3.5..86......2914....9...36.......9...8........2...5..6,24,Easy
176...8.9....76......9.....2.7.84....843.....3..2..6..7..1.2...8.3........9.4..23,27,Easy
5..6...7..9.....3414....5......52.97.5..9.6..7...6..2..7......24........2..1..759,27,Expert
14......52......3.8.3.5......476..2..........7..1...8..2...386...7.8......5.12.73,26,Expert
...7...1.1....48..4..35..9...7...48.....49..............5.2..7..3...81...8.4.7..5,24,Expert
......8..54..897..6..4..5............1..7.986.3..4.....7..5...44.....61..83....5.,25,Easy
1....45...2.31...8...852......5.....4.........6.148.....8..7.5..32...8.95.....3.2,26,Simple
..7..6.1.3..19.......72..94.5........3.6.2..9.74...65.....3...2..........41...7..,24,Easy
...1...3..726.8.5.1....7.4...85..3..237...5..5.....4....6......421...7.....41.6..,27,Expert
...6..1..23..17.9..9.4.83.6.7.........2...6..81....7.9......8..743...........9.2.,25,Simple
.......4.97........5....9..3....7..17...253....9.....7...4.9.5...6...1..524..3.6.,24,Expert
8.....2.....3...6....7...83..9..4835.2....4..5.4.....9....4.3...9.25...7.7....6..,25,Easy
.2.96..1...8.2...4961.8......467...8....4..23...8...79......2..8...9....7.6......,26,Easy
1....5..6.9.6.1.87...3..2.....8...........79..327.....81..375.93........7.9.....8,26,Easy
1.83.....7....6..5..3..7.......3..6..36......8.7....1...9.....6.....2..7.2..15.8.,23,Expert
6..3.1.921...5.....326...5.9.....3.8..7.....6...189.............2.7.3..5...8...6.,25,Expert
......6.3.3.1..592...9...1...1....29...6..78.......3...15..8.7...8..7.3...251....,26,Expert
..532...1...........69..8.3.......8....5..1...24.1.5.6..9.......4..5..3.3..2.9.64,25,Expert
56.39.....3...8.2..2..4.3...9..2.......4........83...9.8......5..265.94...7....62,26,Easy
....2...3....39.7....6..8.1..1.63.4.....7...2.9....63.6..79.4...........7.2.14.8.,26,Easy
..7.....1.........865.4.7.3..6......3...8....1.26.3.......68.35.5.1....2...5...14,25,Intermediate
.8.5.......294.1.3....2......3..2.97....13.......9...8.71...4.2..9....5.54......1,25,Expert
..2.......7..5.819...916...5......863....21...815..93......165.....7............3,25,Intermediate
5739.....4...........63..5....2..........9.8....768.2..84....37..5.2..9..36...8..,25,Intermediate
....9.6.......7.9.9.341...7...65..1.36..8...4..1...7........4..8...6...1....739.8,26,Easy
.......1.9....4.5.5729..8.38.......2..3..14..45..9.1....7.....5.......8....8..924,26,Easy
6..4512.7.5...9......2.....41.....8.5.6....1.9.78..52.1..78........269...........,26,Easy
6.......1.9..7.6......1.895...9....7.59.......8.4.65......35..6....6.......8..74.,24,Expert
..7.2.8.33.......9429........4.....6.....6.....87193...7..32......8...41..6......,24,Intermediate
.8....3.7......1....5....9..3..9.47.4.7....12.9........4.21.53...853.....1.4..2.8,27,Intermediate
